SequenceName	ClusterNumber
G001823735	152
G001824075	152
G001825315	152
G001823795	152
G001823715	152
G001823945	152
G001824255	152
G001825215	152
G000996205	153
G001822655	153
G001822625	153
G001189105	153
G001820825	153
G001821235	153
G001822555	153
G001822735	153
G001821015	153
G001820875	153
G001821215	153
G001821055	153
G000999175	153
G001822705	153
G001821295	153
G001821035	153
G001822495	153
G001822755	153
G001821245	153
G001822675	153
G001822595	153
G001821115	153
G001820855	153
G001820985	153
G001781525	154
G001781435	154
G001779665	154
G000998805	154
G000998045	154
G001003845	-1
G001819075	155
G001819015	155
G001786095	-1
G001825555	156
G000993015	156
G001774495	-1
G001821795	157
G001819905	157
G001003085	157
G001821755	157
G001821685	157
G001819855	157
G000997345	158
G000994355	158
G000993845	158
G000995735	158
G000996035	158
G000993875	158
G001820595	159
G001822425	159
G001004435	159
G001004285	159
G001824435	160
G001824395	160
G001825495	161
G001824315	161
G001824375	161
G001795715	161
G001794195	161
G001794605	161
G001795775	161
G001822835	162
G001822935	162
G001822895	162
G001822865	162
G000996085	162
G000993865	162
G001822815	162
G001822905	162
G001773975	163
G000992135	163
G001775835	163
G000992345	163
G001774035	163
G001774085	163
G000992485	163
G000991445	163
G000992505	163
G001003325	164
G001824325	164
G001784775	165
G000999765	165
G001784975	165
G001784795	165
G001784885	165
G001784875	165
G001785005	165
G001784955	165
G001000395	165
G001784895	165
G001001525	165
G000995965	165
G000992445	-1
G001817115	166
G001817135	166
G001817055	166
G001817175	166
G001817095	166
G001817035	166
G001817145	166
G001817065	166
G001001305	166
G001779955	-1
G001872935	167
G001872945	167
G000995565	167
G000993275	167
G000997185	167
G000995065	167
G000995395	167
G001771115	167
G001816815	168
G001816975	168
G001816835	168
G001816795	168
G001816985	168
G001816735	168
G001816695	168
G001816995	168
G001816645	168
G001816635	168
G001773455	-1
G000378005	169
G001896705	169
G000020945	169
G001509135	170
G000147715	170
G000023325	170
G001027025	170
G001021165	170
G000255135	170
G900102615	170
G001513315	170
G000953715	170
G001508055	170
G000018605	170
G001871575	171
G000284335	171
G000745455	172
G000016905	172
G000021285	172
G000017545	172
G000235405	172
G000767275	172
G000828655	172
G000217815	172
G000832145	172
G000784835	172
G000816145	172
G001508795	172
G000828675	172
G000018945	172
G000750655	172
G001508115	172
G000017865	172
G001508875	172
G000008545	172
G000016785	172
G000025105	172
G000230655	172
G000390265	172
G000978555	172
G000172975	173
G000210715	173
G000177335	173
G000161995	173
G000237805	173
G001604435	173
G001604445	173
G000526395	173
G001896635	173
G000025885	173
G001508935	174
G000160455	174
G900107215	174
G000266925	174
G900129645	174
G001508975	174
G001509095	174
G001509155	174
G000526375	174
G000402835	174
G001508955	174
G000233775	174
G000165795	174
G000712295	174
G000024905	174
G000237825	174
G001701045	174
G000238615	174
G000585335	174
G001778455	175
G002011415	175
G002011365	175
G002010355	175
G002011425	175
G002010365	175
G002011435	175
G002010385	175
G001899385	176
G001784555	176
G001784585	176
G001786505	176
G001917285	177
G001784535	177
G001784565	177
G001784615	177
G001786555	177
G000431555	177
G000980375	177
G000980455	177
G001917235	177
G000433235	177
G001899335	177
G001899395	177
G000431315	177
G000437435	177
G000433095	177
G001765415	177
G000431115	177
G001899365	177
G001917115	177
G000437655	177
G001899425	177
G002006815	178
G000063525	178
G000153045	178
G000179255	178
G000179235	178
G000316515	178
G000155635	178
G001039265	178
G000737575	178
G000195975	178
G000153065	178
G000153825	178
G001631965	178
G001632025	178
G000760175	178
G000737535	178
G000515235	178
G000737595	178
G000230675	178
G000015705	178
G001631985	178
G000760215	178
G000757865	178
G000012505	178
G000153805	178
G001040845	178
G000014585	178
G000063505	178
G000153285	178
G001632165	178
G001632125	178
G001632005	178
G000011485	178
G000760375	178
G000760235	178
G001631935	178
G001632105	178
G001632145	178
G001632075	178
G000760255	178
G000015685	178
G000012465	178
G000291825	178
G000218745	178
G000291945	178
G000291785	178
G000011465	178
G000015665	178
G000635575	178
G000007925	178
G000760275	178
G000759865	178
G000012645	178
G000760155	178
G000760355	178
G000759855	178
G000759935	178
G000759955	178
G000158595	178
G000015965	178
G000635535	178
G000634675	178
G000015645	178
G000635715	178
G001180325	178
G000634615	178
G000635595	178
G001627475	178
G000634435	178
G000635515	178
G000634355	178
G000635875	178
G000635455	178
G000634855	178
G000634595	178
G000634635	178
G001870225	179
G000317065	179
G000332315	179
G000332175	179
G000317085	179
G001873375	179
G000010065	179
G000332215	179
G001402795	179
G000012525	179
G000817325	179
G000238775	179
G000018105	179
G000022045	179
G001698445	179
G001913845	179
G000316685	179
G000505665	179
G000011345	179
G000332095	179
G000317045	179
G000309385	179
G000763385	179
G001314865	179
G000155595	179
G000316115	179
G000482245	179
G000775285	179
G001870905	179
G000733415	179
G001314905	179
G001939115	179
G001657325	179
G000332355	179
G000473895	179
G001746915	179
G001890975	179
G000309945	179
G000317635	179
G000317615	179
G000380225	179
G000317145	179
G001890765	179
G000314005	179
G000252485	179
G000332335	179
G001650195	179
G001895925	179
G000353285	179
G000252425	179
G000252465	179
G001276715	179
G000317105	179
G000317495	179
G001904725	179
G001485215	179
G001548435	179
G001904615	179
G000316605	179
G000485815	179
G000317575	179
G000332035	179
G000214075	179
G000317475	179
G001698425	179
G000987385	179
G000014265	179
G001693255	179
G000332055	179
G000332155	179
G000180455	179
G900010725	179
G000478195	179
G000155555	179
G000317515	179
G001854205	179
G000332195	179
G000756305	179
G001873365	179
G001767235	179
G001942495	179
G000332075	179
G000952155	179
G000317125	179
G000019485	179
G001693295	179
G001521855	179
G001747005	179
G000317655	179
G000317675	179
G000478825	179
G000710505	179
G900009135	179
G001611905	179
G001904655	179
G000317555	179
G000715475	179
G001693275	179
G001548115	179
G000332235	179
G000284215	179
G001904635	179
G000317025	179
G000175415	179
G000210375	179
G000973065	179
G000176895	179
G000173555	179
G000734895	179
G000316665	179
G000316625	179
G001298445	179
G000316645	179
G000317535	179
G000974245	179
G000307915	179
G000317435	179
G000331305	179
G000613065	179
G000346485	179
G000760695	179
G000828085	179
G000332255	179
G000517105	179
G001548375	179
G000340565	179
G000300115	179
G000009725	179
G000340785	179
G000284455	179
G000021805	179
G000829235	179
G000147335	179
G000021825	179
G000350105	179
G000350125	179
G000315565	179
G000317265	179
G000317285	179
G000009705	179
G001904715	179
G000020025	179
G000332295	179
G000316575	179
G000284135	179
G000737945	179
G000025125	179
G000817735	179
G000828075	179
G000317205	179
G000204075	179
G001672205	179
G001858025	179
G000332135	179
G000426925	179
G000196515	179
G001586785	179
G000270265	179
G001318385	179
G000169335	179
G000787675	179
G000312185	179
G001264245	179
G000332585	179
G000317225	179
G000447295	179
G001275395	179
G000317245	179
G000521175	179
G000312705	179
G000175855	179
G001432185	179
G000017845	179
G000231425	179
G001039615	179
G001039635	179
G000312165	179
G000297435	179
G000312725	179
G000312285	179
G001548455	179
G001904645	179
G000315585	179
G000934435	179
G001586755	179
G001858125	179
G001858115	179
G000167195	179
G001039555	179
G000235665	179
G001050835	179
G001578075	179
G000981785	179
G001704955	179
G000312245	179
G001885655	179
G000175835	179
G001676585	179
G000010625	179
G000312265	179
G000330925	179
G001725075	179
G000312205	179
G001706385	179
G000307995	179
G000599945	179
G000484535	180
G000011385	180
G000332275	180
G000013225	180
G000013205	180
G000586015	180
G900047545	180
G001007665	180
G001007625	180
G002017915	180
G002018015	180
G002018045	180
G001007635	180
G001784485	181
G001771695	181
G001771415	181
G001771455	181
G001771705	181
G001772375	181
G001772455	181
G001771615	181
G001771495	181
G001771585	181
G001772435	181
G001771655	181
G001771535	181
G001771395	181
G001772355	181
G001771365	181
G001771665	181
G001772335	181
G001771345	181
G001771425	181
G001771505	181
G001772385	181
G001771545	181
G001772415	181
G001771465	181
G001771625	181
G001771575	181
G001768085	182
G000724625	182
G001898035	182
G000404425	182
G001457855	182
G001457975	182
G000427095	182
G001458035	182
G000397765	183
G000380725	183
G000494245	183
G001302805	-1
G001192795	184
G001603795	184
G000406785	184
G000406905	184
G001603775	184
G001306095	184
G001050275	184
G001899005	184
G001306115	184
G001050255	184
G000199675	184
G001050235	184
G001306145	184
G001796355	184
G001050215	184
G001306055	184
G001795155	185
G001795165	185
G001795125	185
G001795335	185
G001796835	185
G001797095	185
G001796915	185
G001508595	185
G001796845	185
G001795285	185
G001872165	185
G001508475	185
G001603765	185
G001797075	185
G001796475	185
G001795085	185
G001797045	185
G001794965	185
G001796785	185
G001567105	185
G001871895	185
G001796335	185
G001796365	185
G001797165	185
G001797155	185
G000281175	186
G001293545	186
G001303105	186
G001795045	186
G001796965	186
G001802405	186
G001795115	186
G001797105	186
G001796885	187
G001796635	187
G002011535	187
G002010545	187
G002011655	187
G001794985	188
G001796655	188
G001796415	188
G001796805	188
G001466665	188
G001953175	188
G001005265	188
G000143165	188
G001303565	188
G001455825	188
G000025025	188
G000011905	188
G001678035	188
G000016705	188
G002010445	188
G002011495	188
G001796765	188
G001010485	188
G001459095	188
G000009025	188
G001795205	188
G000499365	188
G000830905	188
G001761445	188
G001547795	188
G001796865	188
G000830925	188
G001889305	188
G001678055	188
G000830885	188
G001515295	188
G000341655	188
G001460955	188
G000341695	188
G000025585	188
G001796675	188
G002007825	188
G002007905	188
G000741845	188
G001610775	188
G002021775	188
G001796555	188
G002007845	188
G002007865	188
G001796755	188
G001796525	188
G001796495	188
G001796605	189
G001796575	189
G001304345	189
G002011475	189
G001796595	189
G001796685	189
G001795035	189
G001872925	189
G001796725	189
G001873005	189
G001795275	189
G000464595	189
G001796515	189
G001795315	189
G001796445	189
G001795015	189
G000372165	190
G000383835	190
G001748285	191
G000702505	191
G001918255	191
G001919845	191
G001919995	191
G001914715	191
G001915055	191
G001920235	191
G001644275	192
G001643585	192
G001303625	192
G001302685	192
G001918235	193
G001918845	193
G001920725	193
G001919305	193
G001304495	-1
G001898225	194
G000025005	194
G000526415	194
G001306135	194
G000018565	194
G001399705	194
G000152145	194
G000744775	194
G000021685	194
G000024985	194
G000297255	194
G000016665	194
G000017805	194
G000021945	194
G000516515	194
G000735195	194
G000022185	194
G000018865	194
G001787865	-1
G001805475	195
G001767735	195
G001767595	195
G900143685	196
G000195315	196
G000321165	196
G000311845	196
G000225705	196
G000821265	196
G001552785	196
G000156175	196
G000156215	196
G001404695	196
G000483125	196
G000468855	196
G000434535	196
G000752675	196
G001494635	196
G000169035	196
G001405375	196
G000364325	196
G000468815	196
G900105895	196
G001437015	196
G000024225	196
G000411555	196
G000179715	196
G000758945	196
G001813205	196
G001562845	196
G000564995	196
G000565075	196
G001438885	196
G000174015	196
G001049775	196
G000233535	196
G900155635	196
G001457795	196
G000468755	196
G900108495	196
G900111255	196
G000524335	196
G000178335	196
G000159235	196
G000143845	196
G001437585	196
G900108055	197
G000025265	197
G000423665	197
G000425945	197
G000688095	197
G000424625	197
G000240225	197
G000519325	197
G000420025	197
G001311945	198
G001443565	198
G000949295	198
G900128965	198
G000023265	198
G000949255	198
G000745905	198
G000349585	199
G000092825	199
G000185725	199
G001630765	199
G000226215	199
G001281505	199
G001293125	199
G000372445	199
G001632805	199
G000069185	199
G000214175	199
G000427865	199
G000023145	199
G000092225	199
G000312385	199
G000524475	199
G000411375	199
G000156595	199
G001494595	199
G000380485	199
G001552615	199
G000173655	199
G001274895	199
G000758965	199
G000183325	199
G000372385	199
G000214155	199
G000240505	199
G000972925	199
G000759695	199
G000230935	199
G000964005	199
G000241265	199
G000241305	199
G001552415	199
G001056295	199
G001054945	199
G000069945	199
G000177535	199
G000626675	199
G001021025	199
G000970885	199
G001881585	199
G000257745	199
G001021385	199
G000559085	199
G000015005	199
G000234585	199
G000015405	199
G001598915	199
G000383535	199
G000333015	199
G000241345	199
G000380645	199
G000525655	199
G000006605	199
G000213935	199
G000590555	199
G000011305	199
G000175375	199
G001020985	199
G001021505	199
G001673105	199
G001584765	199
G000340435	199
G001426545	199
G000620625	199
G001291445	199
G000344135	199
G000334455	199
G001426185	199
G000389715	199
G001552855	199
G000418365	199
G000179395	199
G000428805	199
G000318135	199
G001277995	199
G000980835	199
G000550805	199
G000526915	199
G000689255	199
G000164135	199
G001021495	199
G000007865	199
G000195855	199
G000975265	199
G001417955	199
G000613245	199
G000195835	199
G000613185	199
G001307545	199
G000612825	199
G000328565	199
G000230895	199
G000379865	199
G000266905	199
G000423025	199
G000760735	199
G001620305	199
G000344785	199
G000420585	199
G000379705	199
G001044175	199
G000296405	199
G000341345	199
G000277125	199
G000222105	199
G000723425	199
G000157895	199
G001428895	199
G000317305	199
G000805385	199
G000455325	199
G000373905	199
G001570425	199
G001005175	199
G001044245	199
G001044235	199
G000015305	199
G001655245	199
G001049355	199
G000333035	199
G000192435	199
G000298195	199
G000982715	199
G000732945	199
G001021045	199
G001876195	199
G001457455	199
G001583415	199
G000184435	199
G000455165	199
G000248055	199
G000332975	199
G001485495	199
G000247715	199
G000024785	199
G001312925	199
G000511305	199
G000014565	199
G000454045	199
G000308635	199
G000381925	199
G000284035	199
G001412105	199
G000375365	199
G000835165	199
G000819445	199
G000466825	199
G000420605	199
G000442645	199
G001876255	199
G001876085	199
G001922265	199
G001969175	199
G001866985	199
G000265545	199
G001889145	199
G001047215	199
G001499855	199
G001499915	199
G001698225	199
G000196695	199
G000738775	199
G001894865	199
G000341795	199
G001865855	199
G000308655	199
G000308615	199
G000308795	199
G000767055	199
G001021065	199
G000379425	199
G000373805	199
G001876175	199
G001867045	199
G000344155	199
G000332995	199
G000720425	199
G000308515	199
G000308675	199
G000308495	199
G001886715	199
G000308595	199
G001182745	199
G000477935	199
G000477955	199
G001665955	199
G000688415	199
G001941345	199
G000550785	199
G000980815	199
G000759055	199
G000143825	199
G001876005	199
G001875845	199
G001876055	199
G001875905	199
G000259155	199
G001867005	199
G001481755	199
G001653295	199
G000308875	199
G000526215	199
G000523235	199
G000308355	199
G000719275	199
G001310275	199
G000308695	199
G000308835	199
G000159635	199
G000739455	199
G001876035	199
G001875875	199
G001876115	199
G001876095	199
G001613505	199
G000308855	199
G000159115	199
G001054195	199
G001586215	199
G000372085	199
G000312345	199
G001263755	199
G001456175	199
G001969465	199
G000258385	199
G000308715	199
G000250675	199
G000482385	199
G000022905	199
G000577555	199
G001989595	199
G001447295	199
G001969485	199
G001942005	199
G001298505	199
G000241855	199
G000308755	199
G000833575	199
G000805675	199
G000747315	199
G001639025	199
G000221625	199
G001719645	199
G001653315	199
G001975165	199
G001613465	199
G001612765	199
G000144675	199
G000227175	199
G000255935	199
G000730445	199
G000730405	199
G000730365	199
G001481715	199
G000143705	199
G001663495	199
G001026945	199
G000152065	199
G001865765	199
G001017615	199
G001481675	199
G000972805	199
G002009415	199
G001433475	199
G000814865	199
G001682255	199
G000144935	199
G000515395	200
G000373925	200
G001005145	200
G001270745	200
G900101785	200
G000372465	200
G000024345	200
G900105065	200
G000270245	200
G000423085	200
G900092135	200
G000312105	200
G000826085	200
G000423465	200
G000426045	200
G000277715	200
G001428805	200
G001426485	200
G001424755	200
G000720335	200
G000426525	200
G000826065	200
G000619965	200
G000421525	200
G900163845	200
G000160775	200
G000471045	200
G001423365	200
G001426755	200
G001423135	200
G000426605	200
G001427925	200
G001429555	200
G001428125	200
G000422805	200
G000422825	200
G000785495	200
G000413315	200
G000423485	200
G001441165	200
G000463665	200
G001429625	200
G000389985	200
G000620705	200
G000364605	200
G000960475	200
G000425285	200
G000423445	200
G000367205	200
G000015265	200
G000620645	200
G001428565	200
G001427795	200
G001428765	200
G000519005	200
G000204235	200
G000221145	200
G000008345	200
G000145555	200
G000145515	200
G000144735	200
G000699505	201
G000423505	201
G000257665	201
G001437715	201
G000007485	201
G000425685	201
G000381765	201
G001438965	201
G000754445	201
G000425105	201
G000980875	201
G000754435	201
G000834055	201
G000350525	201
G000633415	201
G001426925	201
G000718085	201
G000422385	201
G000422745	201
G000826185	201
G000582705	201
G001429705	201
G000231305	201
G001477055	201
G000349545	201
G001273835	201
G000956505	201
G000477555	201
G001422145	201
G001423105	201
G001422205	201
G000069225	201
G001423185	201
G000422405	201
G000802305	201
G000247645	201
G000153145	201
G001424385	201
G000763375	201
G000685355	201
G000956535	201
G000799385	201
G001475745	201
G000349565	201
G000333435	201
G000938265	201
G001465855	201
G000956525	201
G000956475	201
G001314225	201
G001423045	201
G001423885	201
G000421825	201
G000419445	201
G001424905	201
G000421145	201
G000764165	201
G000455825	201
G000633215	201
G001262495	201
G001887285	201
G000333395	201
G001427525	201
G001428745	201
G001425325	201
G001421565	201
G000956415	201
G001552455	201
G001592125	201
G900104345	201
G000202635	201
G001652465	201
G000383315	201
G000799285	201
G001428255	201
G001552475	201
G000746195	201
G000956575	201
G000469485	201
G001542775	201
G001425085	201
G000421565	201
G000421545	201
G001423695	201
G000470775	201
G001427145	201
G001428485	201
G000304335	201
G000956465	201
G000485475	202
G000376885	202
G000420505	202
G001042675	202
G001042695	202
G000269605	202
G000741705	202
G000738005	202
G001263395	202
G000304215	202
G000737865	202
G000414525	202
G000159155	202
G000025205	202
G000414445	202
G000414465	202
G000737845	202
G000741525	202
G000741645	202
G000741765	202
G000347695	202
G000741775	202
G000741285	202
G000741215	202
G000741205	202
G000741255	202
G000022965	202
G000741575	202
G001042595	202
G000010425	202
G000741135	202
G000800475	202
G000165905	202
G001025155	202
G001042635	202
G000741165	202
G000741175	202
G000741785	202
G001417815	202
G000741715	202
G000741695	202
G000007525	202
G001025175	202
G900070355	203
G001403775	203
G001678905	203
G000576425	203
G000975095	203
G000759715	203
G000338055	203
G000023105	203
G001375495	203
G000225825	203
G900105765	203
G000421225	203
G000239695	203
G000023405	203
G000233655	203
G000024925	203
G000307245	203
G000526515	203
G000767135	203
G000758825	203
G001687305	203
G000312125	203
G000701465	203
G000767165	203
G000612055	203
G000466165	203
G000162895	203
G000185425	203
G001856685	203
G001936115	203
G000423205	203
G000024065	203
G000767175	203
G000603945	203
G000092865	203
G001552375	203
G900105865	203
G000092365	203
G000420445	203
G000315465	203
G000428685	203
G000295095	203
G000185445	203
G000146895	203
G000148485	203
G000176775	203
G000160615	203
G000526595	203
G000718325	203
G000385135	203
G000212695	203
G000312005	203
G000411135	203
G900102025	203
G001553935	203
G000466245	203
G000159035	203
G000146285	203
G000196535	203
G900120415	203
G000159015	203
G000215105	203
G001429255	203
G000688475	203
G000708885	203
G000429205	203
G000724605	203
G001183565	203
G000429225	203
G900106855	203
G000296485	203
G001546135	203
G000411155	203
G000820725	203
G000429105	203
G001592145	203
G000024965	203
G000218545	203
G001040865	203
G001685165	203
G001685155	203
G000220835	203
G000508625	203
G001807435	203
G001055535	203
G000420405	203
G900119695	203
G900106055	203
G000711965	203
G001553285	203
G000420065	203
G001812065	203
G000758775	203
G001457875	203
G001814535	203
G001070855	203
G000429265	203
G000269805	203
G001807285	203
G001812345	203
G001812395	203
G001813085	203
G001070095	203
G000420425	203
G001746855	203
G000308055	203
G000318335	203
G000364865	203
G000296505	203
G000154225	203
G001262055	203
G001057055	203
G000719025	204
G001426435	204
G000017305	204
G900101335	204
G000023925	204
G000421185	204
G000314575	204
G000224715	204
G000421245	204
G000426385	204
G001189535	204
G000298175	204
G001606005	204
G001729525	204
G000285915	204
G000178455	204
G000285835	204
G000426445	204
G001968835	204
G000429885	204
G001021715	204
G000725405	204
G001594145	204
G000576575	204
G001063195	204
G001476195	204
G000011025	204
G001275345	204
G000800955	204
G000220985	204
G000688395	204
G000376825	204
G000184685	204
G001552435	204
G000164695	204
G000763765	204
G000786655	204
G001482365	204
G001483765	204
G000224415	204
G000023205	204
G001657475	204
G000420805	204
G001515525	204
G000298215	204
G000826525	204
G000247995	204
G001247745	204
G001190945	204
G001758225	204
G000297495	204
G001428305	204
G001050535	204
G001046875	204
G001408335	204
G000010285	204
G001580365	204
G000786195	204
G000455245	204
G000421745	204
G001887245	204
G000576595	204
G001429685	204
G001046855	204
G000348945	204
G001956915	204
G001428025	204
G001427915	204
G001281115	204
G000430705	204
G000520495	204
G000328305	204
G000376245	204
G000802235	204
G000720035	204
G000367525	204
G000768695	204
G000197735	204
G001302565	204
G001307035	204
G000950575	204
G000018885	204
G001428505	204
G000383675	204
G000720925	204
G001428065	204
G000768675	204
G000785535	204
G000482545	204
G000520555	204
G000816565	204
G000520515	204
G001263615	204
G000768685	204
G000768705	204
G001427985	204
G000152705	204
G001428435	204
G000520595	204
G000014925	204
G001542565	204
G001428365	204
G000196235	204
G000238915	204
G001484605	204
G001424565	204
G000189535	204
G000813845	204
G000022025	204
G000015025	205
G000384115	205
G000012405	205
G000024385	205
G000024025	205
G000504285	205
G000372745	205
G000518265	205
G001570525	205
G000715975	205
G000341105	205
G000341165	205
G000341025	205
G000092645	205
G900100605	205
G000380165	205
G000341205	205
G000341185	205
G000981225	205
G000826685	205
G000341145	205
G000340965	205
G001279585	205
G000374305	205
G000381885	205
G000718255	205
G001552515	205
G000744815	205
G001418575	205
G000341125	205
G000515115	205
G000092985	205
G000341065	205
G000341085	205
G000468475	205
G000425065	205
G000511135	205
G000718475	205
G001417755	205
G000744705	205
G000240165	205
G000294515	205
G000341005	205
G000379885	205
G000725485	205
G000721075	205
G000024865	205
G001696485	205
G001653075	205
G000744655	205
G000744785	205
G000744225	205
G000373665	205
G001011035	205
G000787835	205
G000787795	205
G000718025	205
G900142575	205
G000745345	205
G001418495	205
G001625365	205
G001888885	205
G001429805	205
G000955975	205
G000710465	205
G000993785	205
G000718985	205
G000092385	205
G000717715	205
G000719135	205
G000424845	205
G000158915	205
G000718635	205
G000717745	205
G000269985	205
G000696185	205
G001493375	205
G001083795	205
G000147815	205
G000938975	205
G000719265	205
G000718015	205
G000719955	205
G000213055	205
G000827005	205
G000424825	205
G001187435	205
G000342125	205
G000695235	205
G000721265	205
G000429085	205
G000719335	205
G001279695	205
G000497405	205
G000426325	205
G000424965	205
G000381025	205
G000935125	205
G000497425	205
G001279725	205
G000373565	205
G000964305	205
G900090125	205
G000721445	205
G000717345	205
G001729485	205
G000818195	205
G000718095	205
G000375725	205
G001905365	205
G000010605	205
G000717025	205
G000720455	205
G001746425	205
G001278075	205
G000424785	205
G001751375	205
G000163875	205
G001693675	205
G001750785	205
G001646665	205
G000384175	205
G000716675	205
G000720475	205
G001419745	205
G001418465	205
G000716805	205
G000725495	205
G001298575	205
G000204605	205
G000721275	205
G001418335	205
G001418655	205
G000968255	205
G000009765	205
G000376565	205
G000331005	205
G000718595	205
G000317595	205
G000819545	205
G000830005	205
G000253235	205
G001418475	205
G000091305	205
G000242715	205
G001654495	205
G001005085	205
G001279985	205
G000725795	205
G000349325	205
G001418585	205
G000444875	205
G001513975	205
G001514045	205
G000158955	205
G001611795	205
G000718315	205
G000225525	205
G001509795	205
G000716215	205
G000721105	205
G000156435	205
G001013905	205
G000497445	205
G001419695	205
G001418415	205
G001660045	205
G000802245	205
G001511815	205
G000721235	205
G000203835	205
G000158935	205
G000177615	206
G000166135	206
G000235425	206
G000585375	206
G000024365	206
G000426645	206
G000058485	206
G000013345	206
G000373365	206
G000421445	206
G900129455	206
G000374165	206
G001854655	206
G000024545	206
G000720965	206
G000379625	206
G001424485	206
G001424455	206
G000306785	206
G000761485	206
G000701365	206
G000025345	206
G000527155	206
G000379825	206
G000718005	206
G000620185	206
G000702465	206
G000582785	206
G000284015	206
G000719515	206
G000716715	206
G000429025	206
G000620785	206
G900129375	206
G000720955	206
G000427885	206
G000482705	206
G000423625	206
G000196675	206
G000717175	206
G000062885	206
G000763095	206
G000379465	206
G000428945	206
G000379685	206
G001420995	206
G001902615	206
G000194155	206
G000497205	206
G000384035	206
G000371785	206
G001302585	206
G000715825	206
G000717135	206
G001921215	206
G000504245	206
G000297395	206
G900104505	206
G000568255	206
G000525635	206
G000427905	206
G000427825	206
G900115565	206
G000145235	206
G000876225	206
G000204155	206
G900109115	206
G000016425	206
G000018265	206
G000494755	206
G000379645	206
G000564855	206
G000023245	206
G000715895	206
G000519205	206
G000739085	206
G000384315	206
G000719975	206
G000389965	206
G001884705	206
G000237145	206
G000374445	206
G000482865	206
G000328705	206
G001701025	206
G000732925	206
G000244955	206
G000962825	206
G000716755	206
G000716595	206
G000974445	206
G000719115	206
G000196835	206
G000284295	206
G000785985	206
G000383915	206
G000717335	206
G000383795	206
G000231035	206
G000527075	206
G000023865	206
G000231055	206
G000258175	206
G000243395	206
G000244975	206
G000428345	207
G000372185	207
G000384535	207
G001439355	207
G000485495	207
G000378885	207
G000438965	207
G000372025	207
G000372265	207
G001438925	207
G001437635	207
G001437845	207
G001439035	207
G001437695	207
G001439085	207
G001437665	207
G001437755	207
G000378865	207
G000378925	207
G000754505	207
G001438315	207
G001439025	207
G000383815	207
G001439225	207
G001437855	207
G001438395	207
G001437905	207
G000294575	207
G000378905	207
G001023575	208
G000817105	208
G001510385	208
G001510335	208
G000455525	208
G001025035	208
G000817095	208
G000348785	208
G000350145	208
G001437825	208
G000817115	208
G000817085	208
G001439005	208
G001438985	208
G000384495	-1
G000014185	209
G000661895	209
G001029505	209
G001950395	210
G000296445	210
G000162875	210
G000023885	210
G000434775	210
G001552935	210
G000814825	210
G000435475	210
G001486445	210
G000023845	210
G001643775	210
G900110565	210
G000478885	210
G000236865	210
G000436075	210
G001915265	210
G000403355	210
G000422625	210
G000270285	210
G000210055	210
G000024265	210
G001766895	211
G001767615	211
G000969705	-1
G000092425	212
G000183745	212
G000195335	212
G000745915	212
G000092125	212
G000771745	212
G000309885	212
G000317835	212
G000519345	212
G000190555	212
G000373205	212
G000430045	212
G000423425	212
G000376665	212
G000620065	212
G001399775	212
G001880325	212
G000482805	212
G000091545	212
G000421625	212
G000376265	212
G000381345	212
G000252445	212
G001644565	212
G000745065	212
G000599865	212
G000008565	212
G000478785	212
G000744885	212
G000196275	212
G000745175	212
G000430865	212
G000020685	212
G000187005	212
G000423905	212
G000800395	212
G001413985	212
G000701405	212
G000701425	212
G001507665	212
G001007995	212
G001767755	213
G001767575	213
G001768645	213
G001767605	213
G002011575	213
G002010555	213
G002011565	213
G001594015	214
G000013105	214
G000012865	214
G000427565	214
G001263415	214
G000024605	214
G000018425	214
G001899445	214
G000711975	214
G000024205	214
G000214435	214
G000010565	214
G000215085	214
G000016165	214
G000315365	214
G000233715	214
G000376385	214
G900113335	214
G000430885	214
G000429345	214
G000686645	214
G001509075	214
G000740855	214
G000740805	214
G000740865	214
G000681355	214
G001508855	215
G000092405	215
G900129805	215
G001513545	215
G000946815	215
G001508215	215
G000305935	215
G001513155	215
G001512785	215
G000983115	215
G001311885	215
G001570625	215
G000014725	215
G001515945	216
G000620305	216
G001513335	216
G001508005	216
G000802045	216
G000019165	216
G000746025	216
G001512665	216
G000190635	216
G001029295	216
G001516055	216
G000512895	216
G001515265	216
G000231405	216
G000243135	216
G000255115	216
G001029285	216
G000243155	216
G000224515	216
G001516045	216
G000379505	216
G000960765	216
G000961805	216
G000244895	216
G001468785	216
G000021925	216
G000235605	216
G000231385	216
G000384135	217
G000381065	217
G900101645	217
G000374545	217
G000430605	217
G000230275	217
G000431295	217
G000437815	217
G900110485	217
G000423385	217
G000245775	217
G000188175	217
G001916865	217
G000436295	217
G000436095	217
G900115425	217
G900104455	217
G001611555	217
G000219125	217
G000445445	217
G000621545	217
G000622005	217
G900129225	217
G900107075	217
G000025305	217
G000271665	217
G900114615	217
G900102435	217
G000169155	217
G000208405	217
G000381005	217
G000287655	217
G000160695	217
G000702545	217
G000187125	217
G000426665	217
G000213975	217
G000160555	217
G000155955	217
G000469545	217
G900116485	217
G000686945	217
G000702005	217
G900100835	217
G000284095	217
G900104055	217
G900107615	217
G900111915	217
G900155405	218
G000221605	218
G000438335	218
G900103425	218
G000194985	218
G000221545	218
G000177555	218
G000428745	218
G000426745	218
G000478965	218
G001045675	218
G000160055	218
G000433275	218
G000435155	218
G000315505	218
G000431435	218
G000286635	218
G000165735	218
